"ID","post_title","post_type","meta_key","meta_value"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","_agent_logo_attachment_id","5342"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","_elementor_page_assets","a:0:{}"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","_test_import","1"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agency_xml_id","1"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agency_xml_last_update","2025-11-26 07:51:30"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_address","Corso del Lavoro e della Scienza 3"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_city","Trento"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_contact_person","Marco Rossi"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_email","info@trentinoimmobiliare.it"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_import_date","2025-11-26 07:51:30"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_import_source","gestionaleimmobiliare"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_logo","https://trentinoimmobiliare.it/wp-content/uploads/2025/11/agency-logo-logo_2.png"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_mobile","+393481234567"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_phone","+390461234567"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_state","Trento"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_vat","02345678901"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","agent_website","https://www.trentinoimmobiliare.it"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","rank_math_internal_links_processed","1"
"5442","Trentino Immobiliare Excellence SRL","estate_agent","wpestate_property_gallery",
"5443","Dolomiti Real Estate SAS","estate_agent","_agent_logo_attachment_id","5344"
"5443","Dolomiti Real Estate SAS","estate_agent","_elementor_page_assets","a:0:{}"
"5443","Dolomiti Real Estate SAS","estate_agent","_test_import","1"
"5443","Dolomiti Real Estate SAS","estate_agent","agency_xml_id","2"
"5443","Dolomiti Real Estate SAS","estate_agent","agency_xml_last_update","2025-11-26 07:51:30"
"5443","Dolomiti Real Estate SAS","estate_agent","agent_address","Via Brennero 125"
"5443","Dolomiti Real Estate SAS","estate_agent","agent_city","Trento"
"5443","Dolomiti Real Estate SAS","estate_agent","agent_contact_person","Laura Bianchi"
